Node: 104.23.112.180, Ping: 460.664 ms, Download Speed: 6493751.58 Mbps
Node: 104.23.112.181, Ping: 252.265 ms, Download Speed: 356461.36 Mbps
Node: 104.23.112.182, Ping: 233.051 ms, Download Speed: 3215758.68 Mbps
Node: 104.23.112.183, Ping: 259.520 ms, Download Speed: 7981726.99 Mbps
Node: 104.23.112.184, Ping: 259.520 ms, Download Speed: 3566656.12 Mbps
Node: 104.23.112.185, Ping: 245.975 ms, Download Speed: 3523642.05 Mbps
Node: 104.23.112.187, Ping: 360.545 ms, Download Speed: 2995095.74 Mbps
Node: 104.23.112.188, Ping: 292.025 ms, Download Speed: 4025651.23 Mbps
Node: 104.23.112.189, Ping: 292.089 ms, Download Speed: 3874226.32 Mbps
Node: 104.23.112.190, Ping: 292.089 ms, Download Speed: 1328477.36 Mbps
Node: 104.23.112.191, Ping: 292.089 ms, Download Speed: 3042839.03 Mbps
Node: 104.23.112.192, Ping: 302.318 ms, Download Speed: 2794747.07 Mbps
Node: 104.23.112.193, Ping: 302.318 ms, Download Speed: 1992192.26 Mbps
Node: 104.23.112.194, Ping: 255.601 ms, Download Speed: 833391.67 Mbps
Node: 104.23.112.195, Ping: 255.601 ms, Download Speed: 5361337.28 Mbps
Node: 104.23.112.196, Ping: 245.901 ms, Download Speed: 5200977.59 Mbps
Node: 104.23.112.197, Ping: 243.388 ms, Download Speed: 2573531.84 Mbps
Node: 104.23.112.198, Ping: 518.287 ms, Download Speed: 2310488.62 Mbps
Node: 104.23.112.199, Ping: 518.287 ms, Download Speed: 1172143.25 Mbps
Node: 104.23.112.200, Ping: 518.287 ms, Download Speed: 1613072.67 Mbps
Node: 104.23.112.201, Ping: 518.287 ms, Download Speed: 6289306.33 Mbps
Node: 104.23.112.202, Ping: 361.566 ms, Download Speed: 2295423.71 Mbps
Node: 104.23.112.203, Ping: 361.566 ms, Download Speed: 7585601.02 Mbps
Node: 104.23.112.204, Ping: 361.566 ms, Download Speed: 4830147.66 Mbps
Node: 104.23.112.205, Ping: 361.566 ms, Download Speed: 618505.97 Mbps
Node: 104.23.112.206, Ping: 361.566 ms, Download Speed: 5647557.26 Mbps
Node: 104.23.112.207, Ping: 262.214 ms, Download Speed: 2996767.58 Mbps
Node: 104.23.112.208, Ping: 262.214 ms, Download Speed: 8516691.05 Mbps
Node: 104.23.112.209, Ping: 262.214 ms, Download Speed: 3371775.24 Mbps
Node: 104.23.112.210, Ping: 266.029 ms, Download Speed: 1784068.83 Mbps
Node: 104.23.112.211, Ping: 252.150 ms, Download Speed: 3388534.36 Mbps
Node: 104.23.112.212, Ping: 311.041 ms, Download Speed: 7351878.29 Mbps
Node: 104.23.112.213, Ping: 310.125 ms, Download Speed: 4123432.50 Mbps
Node: 104.23.112.214, Ping: 310.125 ms, Download Speed: 3569323.77 Mbps
Node: 104.23.112.215, Ping: 310.125 ms, Download Speed: 711700.02 Mbps
Node: 104.23.112.216, Ping: 254.403 ms, Download Speed: 2131920.63 Mbps
Node: 104.23.112.217, Ping: 247.023 ms, Download Speed: 2617446.09 Mbps
Node: 104.23.112.218, Ping: 247.023 ms, Download Speed: 2768981.56 Mbps
Node: 104.23.112.219, Ping: 256.108 ms, Download Speed: 3272605.38 Mbps
Node: 104.23.112.220, Ping: 256.108 ms, Download Speed: 1297338.03 Mbps
Node: 104.23.112.221, Ping: 257.978 ms, Download Speed: 4701146.34 Mbps
Node: 104.23.112.222, Ping: 257.978 ms, Download Speed: 4562803.88 Mbps
Node: 104.23.112.223, Ping: 257.978 ms, Download Speed: 5297196.96 Mbps
Node: 104.23.112.224, Ping: 257.978 ms, Download Speed: 5258928.98 Mbps
Node: 104.23.112.225, Ping: 276.377 ms, Download Speed: 3476017.56 Mbps
Node: 104.23.112.226, Ping: 406.892 ms, Download Speed: 3920554.36 Mbps
Node: 104.23.112.227, Ping: 406.892 ms, Download Speed: 5441489.04 Mbps
Node: 104.23.112.228, Ping: 406.892 ms, Download Speed: 4107658.09 Mbps
Node: 104.23.112.229, Ping: 406.892 ms, Download Speed: 1589727.69 Mbps
Node: 104.23.112.230, Ping: 406.892 ms, Download Speed: 996026.83 Mbps
Node: 104.23.112.231, Ping: 269.150 ms, Download Speed: 1734709.52 Mbps
Node: 104.23.112.232, Ping: 269.150 ms, Download Speed: 2116998.86 Mbps
Node: 104.23.112.233, Ping: 269.150 ms, Download Speed: 3285121.08 Mbps
Node: 104.23.112.234, Ping: 516.838 ms, Download Speed: 3083250.03 Mbps
Node: 104.23.112.235, Ping: 302.480 ms, Download Speed: 6568232.60 Mbps
Node: 104.23.112.236, Ping: 302.480 ms, Download Speed: 934724.87 Mbps
Node: 104.23.112.237, Ping: 278.313 ms, Download Speed: 1164200.18 Mbps
Node: 104.23.112.238, Ping: 278.313 ms, Download Speed: 1504999.40 Mbps
Node: 104.23.112.239, Ping: 278.313 ms, Download Speed: 7568224.31 Mbps
Node: 104.23.112.240, Ping: 313.932 ms, Download Speed: 4150930.02 Mbps
Node: 104.23.112.241, Ping: 334.865 ms, Download Speed: 3472644.97 Mbps
Node: 104.23.112.242, Ping: 334.865 ms, Download Speed: 1581474.08 Mbps
Node: 104.23.112.243, Ping: 334.865 ms, Download Speed: 2266952.02 Mbps
Node: 104.23.112.244, Ping: 334.865 ms, Download Speed: 5493690.58 Mbps
Node: 104.23.112.245, Ping: 334.865 ms, Download Speed: 3752374.01 Mbps
Node: 104.23.112.246, Ping: 334.865 ms, Download Speed: 3826592.39 Mbps
Node: 104.23.112.247, Ping: 275.810 ms, Download Speed: 1621966.50 Mbps
Node: 104.23.112.248, Ping: 257.123 ms, Download Speed: 1182469.93 Mbps
Node: 104.23.112.249, Ping: 260.635 ms, Download Speed: 4720781.82 Mbps
Node: 104.23.112.250, Ping: 399.774 ms, Download Speed: 2870967.44 Mbps
Node: 104.23.112.251, Ping: 303.353 ms, Download Speed: 5184653.91 Mbps
Node: 104.23.112.252, Ping: 303.353 ms, Download Speed: 1318607.18 Mbps
Node: 104.23.112.253, Ping: 303.353 ms, Download Speed: 3164346.35 Mbps
Node: 104.23.112.254, Ping: 303.353 ms, Download Speed: 5230111.17 Mbps
Node: 104.23.112.255, Ping: 255.420 ms, Download Speed: 3439550.97 Mbps
Node: 104.23.113.0, Ping: 255.420 ms, Download Speed: 1336455.58 Mbps
Node: 104.23.113.1, Ping: 255.420 ms, Download Speed: 2924730.88 Mbps
Node: 104.23.113.2, Ping: 255.420 ms, Download Speed: 5447700.78 Mbps
Node: 104.23.113.3, Ping: 292.499 ms, Download Speed: 2305775.11 Mbps
Node: 104.23.113.4, Ping: 292.499 ms, Download Speed: 2970651.06 Mbps
Node: 104.23.113.5, Ping: 309.631 ms, Download Speed: 2906521.82 Mbps
Node: 104.23.113.6, Ping: 309.631 ms, Download Speed: 4128982.21 Mbps
Node: 104.23.113.7, Ping: 309.631 ms, Download Speed: 3914123.12 Mbps
Node: 104.23.113.8, Ping: 273.769 ms, Download Speed: 4493583.70 Mbps
Node: 104.23.113.9, Ping: 273.769 ms, Download Speed: 1972249.30 Mbps
Node: 104.23.113.10, Ping: 273.769 ms, Download Speed: 7086235.43 Mbps
Node: 104.23.113.11, Ping: 311.903 ms, Download Speed: 3498670.00 Mbps
Node: 104.23.113.12, Ping: 339.592 ms, Download Speed: 3000326.44 Mbps
Node: 104.23.113.13, Ping: 339.592 ms, Download Speed: 4440160.55 Mbps
Node: 104.23.113.14, Ping: 284.732 ms, Download Speed: 2862548.18 Mbps
Node: 104.23.113.15, Ping: 404.061 ms, Download Speed: 5641622.61 Mbps
Node: 104.23.113.16, Ping: 404.061 ms, Download Speed: 2164365.70 Mbps
Node: 104.23.113.17, Ping: 597.905 ms, Download Speed: 2761681.65 Mbps
Node: 104.23.113.18, Ping: 597.905 ms, Download Speed: 941589.71 Mbps
Node: 104.23.113.19, Ping: 597.905 ms, Download Speed: 1347018.13 Mbps
Node: 104.23.113.20, Ping: 597.905 ms, Download Speed: 3944317.47 Mbps
Node: 104.23.113.21, Ping: 410.532 ms, Download Speed: 3149726.68 Mbps
Node: 104.23.113.22, Ping: 410.532 ms, Download Speed: 4548789.76 Mbps
Node: 104.23.113.23, Ping: 261.019 ms, Download Speed: 1656625.51 Mbps
Node: 104.23.113.24, Ping: 366.192 ms, Download Speed: 3169249.78 Mbps
Node: 104.23.113.25, Ping: 284.570 ms, Download Speed: 3018884.72 Mbps
Node: 104.23.113.26, Ping: 284.570 ms, Download Speed: 3752374.01 Mbps
Node: 104.23.113.27, Ping: 298.329 ms, Download Speed: 3135241.47 Mbps
Node: 104.23.113.28, Ping: 304.273 ms, Download Speed: 1213027.73 Mbps
Node: 104.23.113.29, Ping: 304.273 ms, Download Speed: 2895939.11 Mbps
Node: 104.23.113.30, Ping: 304.273 ms, Download Speed: 2267430.73 Mbps
Node: 104.23.113.31, Ping: 546.020 ms, Download Speed: 5300465.63 Mbps
Node: 104.23.113.32, Ping: 546.020 ms, Download Speed: 3204960.30 Mbps
Node: 104.23.113.33, Ping: 245.609 ms, Download Speed: 544618.10 Mbps
Node: 104.23.113.34, Ping: 245.609 ms, Download Speed: 1313325.17 Mbps
Node: 104.23.113.35, Ping: 245.609 ms, Download Speed: 3584217.05 Mbps
Node: 104.23.113.36, Ping: 245.609 ms, Download Speed: 7572227.25 Mbps
Node: 104.23.113.37, Ping: 310.883 ms, Download Speed: 2675825.37 Mbps
Node: 104.23.113.38, Ping: 310.883 ms, Download Speed: 4475789.18 Mbps
Node: 104.23.113.39, Ping: 310.883 ms, Download Speed: 3328915.90 Mbps
Node: 104.23.113.40, Ping: 310.883 ms, Download Speed: 5283512.48 Mbps
Node: 104.23.113.41, Ping: 310.883 ms, Download Speed: 5347985.68 Mbps
Node: 104.23.113.42, Ping: 310.883 ms, Download Speed: 3012532.30 Mbps
Node: 104.23.113.43, Ping: 310.883 ms, Download Speed: 312711.49 Mbps
Node: 104.23.113.44, Ping: 253.123 ms, Download Speed: 847819.20 Mbps
Node: 104.23.113.45, Ping: 318.295 ms, Download Speed: 7101467.09 Mbps
